"FECcommittee","icpsr","first","last","fullname","state","chamber","district","party","start","end","twitter","twitter_lower","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","female","Official","c111th","c112th","c113th","c114th","c115th","c116th","c117th","user_id","screen_name","name"
"C00636092",21760,"kevin","hern","kevinhern","OK","House","1","R","11/18/2018","","repkevinhern","repkevinhern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,1,"1067818539179024386","repkevinhern","Rep. Kevin Hern"
"C00636092",21760,"kevin","hern","kevinhern","OK","House","1","R","11/18/2018","","krhern","krhern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,"19168067","krhern","Kevin Hern"
"C00669358",21762,"mary","gayscanlon","marygayscanlon","PA","House","5","D","","","RepMGS","repmgs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,1,1,"1067541214671577093","RepMGS","Congresswoman Mary Gay Scanlon"
"C00669358",21762,"mary","gayscanlon","marygayscanlon","PA","House","5","D","","","marygayscanlon","marygayscanlon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,1,"961312723035394048","marygayscanlon","Mary Gay Scanlon"
"C00655332",21758,"michael","cloud","michaelcloud","TX","House","27","R","7/10/2018","","RepCloudTX","repcloudtx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,1,"1039879658400112640","RepCloudTX","Congressman Michael Cloud"
"C00655332",21758,"michael","cloud","michaelcloud","TX","House","27","R","7/10/2018","","MichaelJCloud","michaeljcloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,"23725826","MichaelJCloud","Michael Cloud"
"C00658567",21763,"susan","wild","susanwild","PA","House","7","D","11/27/2018","","RepSusanWild","repsusanwild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,1,1,"1069636653353000962","RepSusanWild","Rep. Susan Wild"
"C00658567",21763,"susan","wild","susanwild","PA","House","7","D","11/27/2018","","wildforcongress","wildforcongress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,"533324996","wildforcongress","Susan Wild"
"C00662650",21759,"troy","balderson","troybalderson","OH","House","12","R","9/5/2018","","RepBalderson","repbalderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,1,"1037341536592310272","RepBalderson","Congressman Troy Balderson"
"C00662650",21759,"troy","balderson","troybalderson","OH","House","12","R","9/5/2018","","Troy_Balderson","troy_balderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,"603083228","Troy_Balderson","Troy Balderson"
"C00721449",22100,"jake","auchincloss","jakeauchincloss","MA","House","4","D","","","JakeAuch","jakeauch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,"4870048156","JakeAuch","Jake Auchincloss"
